Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Chronic Obstructive Airway Disease	C0024117	WASF2	10163	Q9Y6W5	WASP family member 2	Cellular structure	95	0.585	0.769	0.97567	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ELFN1-AS1	101927125		ELFN1 antisense RNA 1		7	0.821	0.154		0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	RORA-AS1	101928784		RORA antisense RNA 1		11	0.931	0.115		0.01		1.0	1	1	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	ADAMTS9-AS1	101929335		ADAMTS9 antisense RNA 1		4	0.861	0.154		0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	DHRS2	10202	Q13268	dehydrogenase/reductase 2		20	0.736	0.385	8.7228e-07	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	EIF1	10209	P41567	eukaryotic translation initiation factor 1		37	0.653	0.577	0.8307	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	CDK6	1021	Q00534	cyclin dependent kinase 6	Kinase	266	0.471	0.731	0.98315	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	STAM2	10254	O75886	signal transducing adaptor molecule 2		29	0.7	0.5	1.0416e-05	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CDKN1B	1027	P46527	cyclin dependent kinase inhibitor 1B		454	0.409	0.769	0.62376	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	LOC102724334	102724334	P57053	histone H2B type F-S-like		22	0.711	0.615		0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	CBSL	102724560	P0DN79;P35520	cystathionine beta-synthase like		129	0.54	0.808		0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	CDKN1C	1028	P49918	cyclin dependent kinase inhibitor 1C		298	0.456	0.846	0.81963	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	IKZF1	10320	Q13422	IKAROS family zinc finger 1	Transcription factor	165	0.533	0.769	0.9986	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	TLR6	10333	Q9Y2C9	toll like receptor 6		106	0.556	0.769	2.2508e-05	0.01		1.0	1	1	2005.0	2005.0
Chronic Obstructive Airway Disease	C0024117	KLF2	10365	Q9Y5W3	Kruppel like factor 2	Nucleic acid binding	132	0.542	0.692	0.56044	0.01		1.0	1	0	2008.0	2008.0
Chronic Obstructive Airway Disease	C0024117	NOD1	10392	Q9Y239	nucleotide binding oligomerization domain containing 1	Enzyme	136	0.541	0.769	2.4602e-18	0.01		0.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	YAP1	10413	P46937	Yes associated protein 1	Enzyme modulator	374	0.432	0.808	0.99918	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MCRS1	10445	Q96EZ8	microspherule protein 1		37	0.666	0.385	0.16561	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CDX2	1045	Q99626	caudal type homeobox 2	Transcription factor	278	0.458	0.769	0.52887	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	MERTK	10461	Q12866	MER proto-oncogene, tyrosine kinase	Kinase	154	0.531	0.692	2.6593e-11	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CEACAM5	1048	P06731	CEA cell adhesion molecule 5		428	0.42	0.846	4.1625e-10	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CAP1	10487	Q01518	cyclase associated actin cytoskeleton regulatory protein 1	Cellular structure	149	0.529	0.808	0.019817	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	CARM1	10498	Q86X55	coactivator associated arginine methyltransferase 1	Epigenetic regulator	79	0.601	0.692	0.99998	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	FBLN5	10516	Q9UBX5	fibulin 5	Calcium-binding protein	150	0.546	0.692	0.9997	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	CIB2	10518	O75838	calcium and integrin binding family member 2		125	0.545	0.808	0.0014456	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	CHERP	10523	Q8IWX8	calcium homeostasis endoplasmic reticulum protein	Nucleic acid binding	10	0.821	0.154	1.0	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	ATG7	10533	O95352	autophagy related 7	Enzyme	179	0.505	0.769	7.3758e-12	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	HLA-DQB1-AS1	106480429		HLA-DQB1 antisense RNA 1		1	1.0	0.038		0.01		1.0	1	1	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	ORI6	107197953		origin of replication ori6		21	0.711	0.5		0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ADCY2	108	Q08462	adenylate cyclase 2		30	0.695	0.308	0.99898	0.01		1.0	1	1	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	LILRB1	10859	Q8NHL6	leukocyte immunoglobulin like receptor B1	Receptor	168	0.51	0.769	5.6502e-14	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	FGL2	10875	Q14314	fibrinogen like 2	Signaling	63	0.621	0.615	6.1472e-05	0.01		1.0	1	0	2010.0	2010.0
Chronic Obstructive Airway Disease	C0024117	DINOL	108783646		damage induced long noncoding RNA		10	0.821	0.346		0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MRPS30	10884	Q9NP92	mitochondrial ribosomal protein S30		83	0.59	0.731	1.5937e-08	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PAPOLA	10914	P51003	poly(A) polymerase alpha	Nucleic acid binding	79	0.593	0.731	0.99998	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PIM2	11040	Q9P1W9	Pim-2 proto-oncogene, serine/threonine kinase	Kinase	68	0.606	0.538	0.94801	0.01		1.0	1	0	2008.0	2008.0
Chronic Obstructive Airway Disease	C0024117	ABHD2	11057	P08910	abhydrolase domain containing 2	Enzyme	17	0.729	0.346	0.68151	0.01		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	WDR5	11091	P61964	WD repeat domain 5		61	0.619	0.692	0.99978	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ADAMTS13	11093	Q76LX8	ADAM metallopeptidase with thrombospondin type 1 motif 13	Enzyme	229	0.496	0.769	5.1409e-15	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	NUP42	11097	O15504	nucleoporin 42		11	0.805	0.346	9.5131e-09	0.01		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	CHRM2	1129	P08172	cholinergic receptor muscarinic 2	G-protein coupled receptor	91	0.585	0.615	0.18197	0.01		1.0	1	2	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	LINC02605	112935892		long intergenic non-protein coding RNA 2605		203	0.49	0.769		0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PARK7	11315	Q99497	Parkinsonism associated deglycase	Enzyme	161	0.535	0.808	0.75335	0.01		1.0	1	0	2008.0	2008.0
Chronic Obstructive Airway Disease	C0024117	PDAP1	11333	Q13442	PDGFA associated protein 1		95	0.576	0.769	0.049626	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TUSC2	11334	O75896	tumor suppressor 2, mitochondrial calcium regulator		111	0.556	0.846	0.7671	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	AZIN2	113451	Q96A70	antizyme inhibitor 2	Enzyme	187	0.499	0.808	8.8707e-07	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CHRNA7	1139	P36544;Q494W8	cholinergic receptor nicotinic alpha 7 subunit	Ion channel	172	0.532	0.654	0.00041549	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	TXNRD3	114112	Q86VQ6	thioredoxin reductase 3	Enzyme	37	0.653	0.615	8.3449e-08	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	UCN3	114131	Q969E3	urocortin 3		82	0.593	0.731	0.043878	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	MIR155HG	114614		MIR155 host gene		56	0.617	0.615		0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CHUK	1147	O15111	component of inhibitor of nuclear factor kappa B kinase complex	Kinase	125	0.556	0.731	0.99403	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	COPDA1	115253418		chronic obstructive pulmonary disease associated lncRNA 1		1	1.0	0.038		0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CIRBP	1153	Q14011	cold inducible RNA binding protein	Nucleic acid binding	72	0.592	0.731	0.33636	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	H3P40	115482723		H3 histone pseudogene 40		175	0.506	0.846		0.01		1.0	1	0	2008.0	2008.0
Chronic Obstructive Airway Disease	C0024117	CKMT1B	1159	P12532	creatine kinase, mitochondrial 1B	Kinase	21	0.729	0.346	3.2331e-05	0.01		1.0	1	0	2005.0	2005.0
Chronic Obstructive Airway Disease	C0024117	SLC22A12	116085	Q96S37	solute carrier family 22 member 12	Transporter	43	0.647	0.538	1.6891e-13	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	TPP1	1200	O14773	tripeptidyl peptidase 1	Enzyme	151	0.551	0.808	6.2564e-07	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	CCR7	1236	P32248	C-C motif chemokine receptor 7	G-protein coupled receptor	320	0.443	0.769	0.057623	0.01		1.0	1	0	2010.0	2010.0
Chronic Obstructive Airway Disease	C0024117	CCR8	1237	P51685	C-C motif chemokine receptor 8	G-protein coupled receptor	67	0.597	0.692	0.0077492	0.01		1.0	1	0	2001.0	2001.0
Chronic Obstructive Airway Disease	C0024117	LTB4R	1241	Q15722	leukotriene B4 receptor	G-protein coupled receptor	107	0.576	0.692	0.11994	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CNR2	1269	P34972	cannabinoid receptor 2	G-protein coupled receptor	197	0.509	0.846	6.5369e-06	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	COL1A1	1277	P02452	collagen type I alpha 1 chain		487	0.43	0.808	1.0	0.01		1.0	1	0	2008.0	2008.0
Chronic Obstructive Airway Disease	C0024117	COL1A2	1278	P08123	collagen type I alpha 2 chain		271	0.486	0.846	1.0	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	COL6A1	1291	P12109	collagen type VI alpha 1 chain	Receptor	164	0.587	0.731	0.99995	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	COL6A2	1292	P12110	collagen type VI alpha 2 chain	Receptor	124	0.599	0.692	6.5112e-08	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	COL11A1	1301	P12107	collagen type XI alpha 1 chain		268	0.495	0.846	1.0	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CD200R1	131450	Q8TD46	CD200 receptor 1		70	0.623	0.769	4.3137e-09	0.01		0.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	KLF6	1316	Q99612	Kruppel like factor 6	Nucleic acid binding	204	0.501	0.846	0.97946	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	IL31RA	133396	Q8NI17	interleukin 31 receptor A	Signaling	70	0.601	0.692	4.204e-16	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	ADORA2A	135	P29274	adenosine A2a receptor	G-protein coupled receptor	213	0.526	0.769	0.5971	0.01		1.0	1	0	2006.0	2006.0
Chronic Obstructive Airway Disease	C0024117	CP	1356	P00450	ceruloplasmin	Enzyme	283	0.466	0.846	4.2013e-10	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	ADORA2B	136	P29275	adenosine A2b receptor	G-protein coupled receptor	66	0.617	0.692	1.7674e-05	0.01		1.0	1	0	2013.0	2013.0
Chronic Obstructive Airway Disease	C0024117	CREBBP	1387	Q92793	CREB binding protein		438	0.428	0.808	1.0	0.01		1.0	1	0	2008.0	2008.0
Chronic Obstructive Airway Disease	C0024117	FUNDC1	139341	Q8IVP5	FUN14 domain containing 1		29	0.686	0.385	0.042053	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CRX	1406	O43186	cone-rod homeobox	Transcription factor	128	0.565	0.692	0.51043	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ROMO1	140823	P60602	reactive oxygen species modulator 1		41	0.666	0.615	0.234	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CRYGC	1420	P07315	crystallin gamma C		60	0.612	0.577	0.0006061	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	LAYN	143903	Q6UX15	layilin		22	0.722	0.385	1.3423e-13	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CSTA	1475	P01040	cystatin A	Enzyme modulator	97	0.592	0.731	0.00015316	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	CSTB	1476	P04080	cystatin B	Enzyme modulator	155	0.53	0.692	0.0065562	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	IL23R	149233	Q5VWK5	interleukin 23 receptor	Signaling	306	0.466	0.769	0.00055961	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	CTSD	1509	P07339	cathepsin D	Enzyme	242	0.478	0.846	0.00091747	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CTSE	1510	P14091	cathepsin E	Enzyme	56	0.631	0.615	1.4371e-14	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	CTSL	1514	P07711	cathepsin L	Enzyme	225	0.488	0.846	0.0080454	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	DAB2IP	153090	Q5VWQ8	DAB2 interacting protein	Enzyme modulator	82	0.588	0.538	0.99995	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	AMOTL1	154810	Q8IY63	angiomotin like 1		24	0.736	0.423	0.0018316	0.01		1.0	1	0	2013.0	2013.0
Chronic Obstructive Airway Disease	C0024117	CYP2A7	1549	P20853	cytochrome P450 family 2 subfamily A member 7		35	0.686	0.538	3.7792e-15	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	DAPK1	1612	P53355	death associated protein kinase 1	Kinase	249	0.472	0.808	0.99767	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	DBH	1621	P09172	dopamine beta-hydroxylase		202	0.511	0.846	3.3352e-10	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	DCN	1634	P07585	decorin		297	0.457	0.808	0.31231	0.01		1.0	1	0	2006.0	2006.0
Chronic Obstructive Airway Disease	C0024117	AEBP1	165	Q8IUX7	AE binding protein 1		69	0.631	0.654	7.3471e-11	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	DDX1	1653	Q92499	DEAD-box helicase 1		42	0.67	0.577	0.99449	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	DECR1	1666	Q16698	2,4-dienoyl-CoA reductase 1	Enzyme	399	0.426	0.885	4.4689e-14	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	DEFA1	1667	P59665	defensin alpha 1		57	0.636	0.731		0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	ADAMTS19	171019	Q8TE59	ADAM metallopeptidase with thrombospondin type 1 motif 19	Enzyme	13	0.792	0.269	5.9648e-08	0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	DHCR24	1718	Q15392	24-dehydrocholesterol reductase	Enzyme	216	0.498	0.769	0.031029	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	DIO1	1733	P49895	iodothyronine deiodinase 1		51	0.638	0.769	0.58399	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	DIO2	1734	Q92813	iodothyronine deiodinase 2		79	0.59	0.731	0.6196	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	DIO3	1735	P55073	iodothyronine deiodinase 3		80	0.593	0.731	0.62331	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	DNASE1	1773	P24855	deoxyribonuclease 1		180	0.505	0.846	6.9801e-21	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	DUSP6	1848	Q16828	dual specificity phosphatase 6		196	0.511	0.846	0.97603	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	DVL3	1857	Q92997	dishevelled segment polarity protein 3	Signaling	167	0.537	0.731	0.38544	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	AHCY	191	P23526	adenosylhomocysteinase	Enzyme	107	0.582	0.692	0.035922	0.01		1.0	1	0	2008.0	2008.0
Chronic Obstructive Airway Disease	C0024117	EDNRB	1910	P24530	endothelin receptor type B	G-protein coupled receptor	300	0.47	0.846	0.0092419	0.01		1.0	1	0	1999.0	1999.0
Chronic Obstructive Airway Disease	C0024117	PGAM5	192111	Q96HS1	PGAM family member 5, mitochondrial serine/threonine protein phosphatase		24	0.711	0.5	6.4116e-05	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	AHSG	197	P02765	alpha 2-HS glycoprotein	Enzyme modulator	204	0.506	0.846	3.209e-10	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	EIF4EBP1	1978	Q13541	eukaryotic translation initiation factor 4E binding protein 1	Nucleic acid binding	201	0.494	0.885	0.20762	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	ELAVL2	1993	Q12926	ELAV like RNA binding protein 2		199	0.486	0.808	0.99514	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	A2M	2	P01023	alpha-2-macroglobulin	Enzyme modulator	147	0.529	0.769	4.5229e-11	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	CRYGEP	200575		crystallin gamma E, pseudogene		34	0.666	0.538		0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	EPHB2	2048	P29323	EPH receptor B2	Kinase	649	0.374	0.846	0.99997	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	EPHX2	2053	P34913	epoxide hydrolase 2	Enzyme	97	0.568	0.654	1.7936e-21	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	EPO	2056	P01588	erythropoietin		646	0.381	0.885	0.01125	0.01		1.0	1	0	2005.0	2005.0
Chronic Obstructive Airway Disease	C0024117	ERCC1	2067	P07992	ERCC excision repair 1, endonuclease non-catalytic subunit	Enzyme	345	0.445	0.846	1.5933e-07	0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	FBL	2091	P22087	fibrillarin	Enzyme	94	0.572	0.654	0.99319	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	ESR2	2100	Q92731	estrogen receptor 2	Nuclear receptor	528	0.4	0.923	4.4516e-08	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	ETS2	2114	P15036	ETS proto-oncogene 2, transcription factor	Transcription factor	115	0.548	0.808	0.99888	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	MECOM	2122	Q03112	MDS1 and EVI1 complex locus		191	0.513	0.731	1.0	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	F10	2159	P00742	coagulation factor X	Enzyme	228	0.493	0.769	2.3473e-06	0.01		1.0	1	0	2010.0	2010.0
Chronic Obstructive Airway Disease	C0024117	FBLN1	2192	P23142	fibulin 1		83	0.587	0.654	0.91878	0.01		1.0	1	0	2013.0	2013.0
Chronic Obstructive Airway Disease	C0024117	FOLH1B	219595	Q9HBA9	folate hydrolase 1B	Enzyme	36	0.682	0.538		0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	FCGR1A	2209	P12314	Fc fragment of IgG receptor Ia	Cell adhesion	141	0.532	0.731	0.00013116	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	ZEB1-AS1	220930		ZEB1 antisense RNA 1		50	0.636	0.423		0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	MARCHF8	220972	Q5T0T0	membrane associated ring-CH-type finger 8		87	0.59	0.692	5.8689e-07	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	NT5DC1	221294	Q5TFE4	5'-nucleotidase domain containing 1	Enzyme	8	0.792	0.269	5.1357e-07	0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	FDPS	2224	P14324	farnesyl diphosphate synthase	Enzyme	83	0.599	0.769	0.0056199	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	FES	2242	P07332	FES proto-oncogene, tyrosine kinase	Kinase	101	0.593	0.769	3.7916e-15	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	FGF13	2258	Q92913	fibroblast growth factor 13	Signaling	167	0.514	0.808	0.89489	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	FGFR1	2260	P11362	fibroblast growth factor receptor 1	Kinase	816	0.362	0.885	0.99984	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	FHL1	2273	Q13642	four and a half LIM domains 1		195	0.532	0.731	0.96979	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MLXIP	22877	Q9HAP2	MLX interacting protein		70	0.597	0.692	0.98932	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	FKBP4	2288	Q02790	FKBP prolyl isomerase 4	Enzyme	149	0.532	0.769	0.15539	0.01		1.0	1	0	2009.0	2009.0
Chronic Obstructive Airway Disease	C0024117	KLRK1	22914	P26718	killer cell lectin like receptor K1		255	0.467	0.769	6.9812e-14	0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	SIRT2	22933	Q8IXJ6	sirtuin 2	Epigenetic regulator	172	0.51	0.769	2.3295e-08	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	P2RX2	22953	Q9UBL9	purinergic receptor P2X 2	Ion channel	99	0.585	0.769	9.6508e-13	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	FOXC1	2296	Q12948	forkhead box C1	Transcription factor	242	0.483	0.846	0.95337	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PHLPP2	23035	Q6ZVD8	PH domain and leucine rich repeat protein phosphatase 2		45	0.641	0.346	1.2128e-06	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	MYCBP2	23077	O75592	MYC binding protein 2		19	0.716	0.308	1.0	0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	PPRC1	23082	Q5VV67	PPARG related coactivator 1	Transcription factor	41	0.656	0.538	1.0	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	SARM1	23098	Q6SZW1	sterile alpha and TIR motif containing 1		40	0.682	0.346	1.7007e-10	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	CUL9	23113	Q8IWT3	cullin 9		39	0.659	0.654	0.99191	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	CYFIP1	23191	Q7L576	cytoplasmic FMR1 interacting protein 1	Enzyme modulator	40	0.674	0.538	0.96816	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	FLT1	2321	P17948	fms related receptor tyrosine kinase 1	Kinase	424	0.419	0.846	0.99983	0.01		1.0	1	3	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	TSPYL4	23270	Q9UJ04	TSPY like 4	Enzyme modulator	4	0.861	0.115	1.2306e-05	0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	SIRT3	23410	Q9NTG7	sirtuin 3	Epigenetic regulator	227	0.488	0.731	0.00016261	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	RHOQ	23433	P17081	ras homolog family member Q	Enzyme modulator	11	0.821	0.192	0.85702	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	FOLH1	2346	Q04609	folate hydrolase 1	Enzyme	311	0.453	0.885	6.1977e-09	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	HEY1	23462	Q9Y5J3	hes related family bHLH transcription factor with YRPW motif 1	Transcription factor	110	0.551	0.692	0.050181	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	FOS	2353	P01100	Fos proto-oncogene, AP-1 transcription factor subunit	Transcription factor	528	0.411	0.885	0.26176	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	FOSB	2354	P53539	FosB proto-oncogene, AP-1 transcription factor subunit	Transcription factor	278	0.463	0.846	0.97553	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	FPR1	2357	P21462	formyl peptide receptor 1	G-protein coupled receptor	93	0.576	0.769		0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	FPR2	2358	P25090	formyl peptide receptor 2	G-protein coupled receptor	124	0.547	0.769	0.40137	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	FAM215A	23591	Q9Y5M1	family with sequence similarity 215 member A		43	0.65	0.5		0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PPP1R15A	23645	O75807	protein phosphatase 1 regulatory subunit 15A		65	0.608	0.692	2.206e-12	0.01		1.0	1	0	2017.0	2017.0
